state,x,y
Alabama,130,-100
Alaska,-204,-170
Arizona,-220,-50
Arkansas,43,-50
California,-297,13
Colorado,-128,20
Connecticut,297,100
Delaware,275,42
Florida,220,-145
Georgia,172,-80
Hawaii,-317,-143
Idaho,-216,105
Illinois,85,37
Indiana,133,39
Iowa,38,65
Kansas,-35,5
Kentucky,125,-13
Louisiana,59,-130
Maine,319,164
Maryland,288,27
Massachusetts,312,112
Michigan,138,101
Minnesota,23,135
Mississippi,88,-78
Missouri,45,-3
Montana,-158,150
Nebraska,-52,45
Nevada,-257,56
New Hampshire,302,127
New Jersey,282,56
New Mexico,-150,-60
New York,236,96
North Carolina,220,-25
North Dakota,-65,150
Ohio,176,52
Oklahoma,-18,-41
Oregon,-290,125
Pennsylvania,220,64
Rhode Island,318,90
South Carolina,218,-60
South Dakota,-66,100
Tennessee,120,-37
Texas,-38,-106
Utah,-189,34
Vermont,282,154
Virginia,234,2
Washington,-285,185
West Virginia,200,20
Wisconsin,73,113
Wyoming,-150,90